"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Front\src\components\AuthForm.js", "JavaScript", 5, 0, 0, 5
"c:\Users\Airis\Desktop\Front\src\components\CinemaForm.js", "JavaScript", 4, 0, 0, 4
"c:\Users\Airis\Desktop\Front\src\components\CinemasList.js", "JavaScript", 6, 0, 0, 6
"c:\Users\Airis\Desktop\Front\src\components\MovieCard.js", "JavaScript", 9, 0, 0, 9
"c:\Users\Airis\Desktop\Front\src\components\MovieForm.js", "JavaScript", 4, 0, 0, 4
"c:\Users\Airis\Desktop\Front\src\components\MovieList.js", "JavaScript", 22, 0, 5, 27
"c:\Users\Airis\Desktop\Front\src\components\ReviewCard.js", "JavaScript", 4, 0, 0, 4
"c:\Users\Airis\Desktop\Front\src\components\ScreeningForm.js", "JavaScript", 4, 0, 0, 4
"Total", "-", 58, 0, 5, 63
