"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Front\src\components\AllMoviesList.js", "JavaScript", 16, 0, 0, 0, 16
"c:\Users\Airis\Desktop\Front\src\components\AuthForm.js", "JavaScript", 63, 0, 0, 6, 69
"c:\Users\Airis\Desktop\Front\src\components\AuthForm.module.css", "CSS", 0, 10, 0, 1, 11
"c:\Users\Airis\Desktop\Front\src\components\MovieList.js", "JavaScript", 5, 0, 0, 0, 5
"c:\Users\Airis\Desktop\Front\src\components\temp.js", "JavaScript", -122, 0, 0, -14, -136
"c:\Users\Airis\Desktop\Front\src\pages\AllMovies.js", "JavaScript", 11, 0, 0, 3, 14
"Total", "-", -27, 10, 0, -4, -21
